#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.1057517E-05   1.2367257E+06   1.2367257E+06   1.6489172E+06   1.0397496E+04   2.3525546E+03   1.2371202E+06   1.2367257E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-05   1.2367254E+06   1.2367254E+06   1.6489039E+06   1.0397442E+04   2.3525125E+03   1.2371200E+06   1.2367254E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-05   1.2367252E+06   1.2367252E+06   1.6488871E+06   1.0397373E+04   2.3524595E+03   1.2371197E+06   1.2367252E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-05   1.2367248E+06   1.2367248E+06   1.6488659E+06   1.0397287E+04   2.3523927E+03   1.2371193E+06   1.2367248E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7524984E-05   1.2367244E+06   1.2367244E+06   1.6488394E+06   1.0397179E+04   2.3523087E+03   1.2371188E+06   1.2367244E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9663355E-05   1.2367238E+06   1.2367238E+06   1.6488059E+06   1.0397042E+04   2.3522029E+03   1.2371182E+06   1.2367238E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2062648E-05   1.2367231E+06   1.2367231E+06   1.6487637E+06   1.0396871E+04   2.3520698E+03   1.2371174E+06   1.2367231E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.4754698E-05   1.2367223E+06   1.2367223E+06   1.6487107E+06   1.0396654E+04   2.3519021E+03   1.2371164E+06   1.2367223E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.7775228E-05   1.2367212E+06   1.2367212E+06   1.6486439E+06   1.0396382E+04   2.3516911E+03   1.2371152E+06   1.2367212E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1164318E-05   1.2367198E+06   1.2367198E+06   1.6485598E+06   1.0396039E+04   2.3514255E+03   1.2371137E+06   1.2367198E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.4966940E-05   1.2367181E+06   1.2367181E+06   1.6484540E+06   1.0395608E+04   2.3510911E+03   1.2371117E+06   1.2367181E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9233552E-05   1.2367159E+06   1.2367159E+06   1.6483207E+06   1.0395065E+04   2.3506702E+03   1.2371093E+06   1.2367159E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4020769E-05   1.2367132E+06   1.2367132E+06   1.6481530E+06   1.0394381E+04   2.3501404E+03   1.2371062E+06   1.2367132E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9392116E-05   1.2367097E+06   1.2367097E+06   1.6479419E+06   1.0393520E+04   2.3494735E+03   1.2371023E+06   1.2367097E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.5418865E-05   1.2367054E+06   1.2367054E+06   1.6476761E+06   1.0392437E+04   2.3486342E+03   1.2370974E+06   1.2367054E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.2180990E-05   1.2366999E+06   1.2366999E+06   1.6473416E+06   1.0391073E+04   2.3475780E+03   1.2370913E+06   1.2366999E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.9768218E-05   1.2366930E+06   1.2366930E+06   1.6469205E+06   1.0389356E+04   2.3462488E+03   1.2370835E+06   1.2366930E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.8281228E-05   1.2366844E+06   1.2366844E+06   1.6463906E+06   1.0387195E+04   2.3445764E+03   1.2370738E+06   1.2366844E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.7832982E-05   1.2366735E+06   1.2366735E+06   1.6457237E+06   1.0384475E+04   2.3424723E+03   1.2370615E+06   1.2366735E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.8550227E-05   1.2366598E+06   1.2366598E+06   1.6448844E+06   1.0381052E+04   2.3398256E+03   1.2370461E+06   1.2366598E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1057517E-04   1.2366425E+06   1.2366425E+06   1.6438284E+06   1.0376745E+04   2.3364972E+03   1.2370267E+06   1.2366425E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2406739E-04   1.2366208E+06   1.2366208E+06   1.6424999E+06   1.0371325E+04   2.3323125E+03   1.2370022E+06   1.2366208E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3920590E-04   1.2365934E+06   1.2365934E+06   1.6408287E+06   1.0364505E+04   2.3270532E+03   1.2369714E+06   1.2365934E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5619158E-04   1.2365590E+06   1.2365590E+06   1.6387271E+06   1.0355927E+04   2.3204461E+03   1.2369327E+06   1.2365590E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
