#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0008987E-05   6.5520294E+05   6.5520294E+05   8.7359378E+05   1.6922753E+04   1.6884040E+02   6.5620987E+05   6.5520294E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-05   6.5520283E+05   6.5520283E+05   8.7359102E+05   1.6922715E+04   1.6883782E+02   6.5620975E+05   6.5520283E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-05   6.5520270E+05   6.5520270E+05   8.7358754E+05   1.6922668E+04   1.6883458E+02   6.5620959E+05   6.5520270E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-05   6.5520253E+05   6.5520253E+05   8.7358316E+05   1.6922609E+04   1.6883050E+02   6.5620940E+05   6.5520253E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-05   6.5520232E+05   6.5520232E+05   8.7357765E+05   1.6922535E+04   1.6882536E+02   6.5620915E+05   6.5520232E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-05   6.5520206E+05   6.5520206E+05   8.7357071E+05   1.6922441E+04   1.6881889E+02   6.5620885E+05   6.5520206E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-05   6.5520172E+05   6.5520172E+05   8.7356197E+05   1.6922324E+04   1.6881075E+02   6.5620846E+05   6.5520172E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-05   6.5520130E+05   6.5520130E+05   8.7355097E+05   1.6922175E+04   1.6880050E+02   6.5620797E+05   6.5520130E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-05   6.5520077E+05   6.5520077E+05   8.7353712E+05   1.6921989E+04   1.6878759E+02   6.5620736E+05   6.5520077E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-05   6.5520011E+05   6.5520011E+05   8.7351968E+05   1.6921753E+04   1.6877134E+02   6.5620659E+05   6.5520011E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1651195E-05   6.5519927E+05   6.5519927E+05   8.7349773E+05   1.6921458E+04   1.6875089E+02   6.5620562E+05   6.5519927E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5513225E-05   6.5519822E+05   6.5519822E+05   8.7347010E+05   1.6921085E+04   1.6872514E+02   6.5620439E+05   6.5519822E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9846494E-05   6.5519689E+05   6.5519689E+05   8.7343531E+05   1.6920616E+04   1.6869273E+02   6.5620285E+05   6.5519689E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4708502E-05   6.5519522E+05   6.5519522E+05   8.7339152E+05   1.6920025E+04   1.6865192E+02   6.5620092E+05   6.5519522E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0163764E-05   6.5519311E+05   6.5519311E+05   8.7333640E+05   1.6919282E+04   1.6860056E+02   6.5619848E+05   6.5519311E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6284669E-05   6.5519047E+05   6.5519047E+05   8.7326700E+05   1.6918346E+04   1.6853591E+02   6.5619540E+05   6.5519047E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3152438E-05   6.5518713E+05   6.5518713E+05   8.7317964E+05   1.6917168E+04   1.6845453E+02   6.5619154E+05   6.5518713E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.0858200E-05   6.5518293E+05   6.5518293E+05   8.7306968E+05   1.6915686E+04   1.6835210E+02   6.5618667E+05   6.5518293E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.9504209E-05   6.5517765E+05   6.5517765E+05   8.7293126E+05   1.6913819E+04   1.6822319E+02   6.5618054E+05   6.5517765E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9205189E-05   6.5517100E+05   6.5517100E+05   8.7275702E+05   1.6911470E+04   1.6806095E+02   6.5617282E+05   6.5517100E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0008987E-04   6.5516263E+05   6.5516263E+05   8.7253772E+05   1.6908512E+04   1.6785680E+02   6.5616311E+05   6.5516263E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1230268E-04   6.5515209E+05   6.5515209E+05   8.7226170E+05   1.6904789E+04   1.6759992E+02   6.5615089E+05   6.5515209E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.2600568E-04   6.5513882E+05   6.5513882E+05   8.7191433E+05   1.6900104E+04   1.6727675E+02   6.5613550E+05   6.5513882E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4138070E-04   6.5512212E+05   6.5512212E+05   8.7147719E+05   1.6894208E+04   1.6687026E+02   6.5611613E+05   6.5512212E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.5863175E-04   6.5510110E+05   6.5510110E+05   8.7092715E+05   1.6886787E+04   1.6635906E+02   6.5609176E+05   6.5510110E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.7798775E-04   6.5507465E+05   6.5507465E+05   8.7023512E+05   1.6877450E+04   1.6571638E+02   6.5606108E+05   6.5507465E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.9970554E-04   6.5504135E+05   6.5504135E+05   8.6936462E+05   1.6865703E+04   1.6490869E+02   6.5602247E+05   6.5504135E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.2407330E-04   6.5499945E+05   6.5499945E+05   8.6826982E+05   1.6850925E+04   1.6389405E+02   6.5597389E+05   6.5499945E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.5141438E-04   6.5494673E+05   6.5494673E+05   8.6689332E+05   1.6832340E+04   1.6262018E+02   6.5591276E+05   6.5494673E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.8209158E-04   6.5488040E+05   6.5488040E+05   8.6516318E+05   1.6808971E+04   1.6102197E+02   6.5583587E+05   6.5488040E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.1651195E-04   6.5479696E+05   6.5479696E+05   8.6298946E+05   1.6779597E+04   1.5901864E+02   6.5573916E+05   6.5479696E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.5513225E-04   6.5469202E+05   6.5469202E+05   8.6025988E+05   1.6742691E+04   1.5651033E+02   6.5561756E+05   6.5469202E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.9846494E-04   6.5456007E+05   6.5456007E+05   8.5683454E+05   1.6696343E+04   1.5337424E+02   6.5546470E+05   6.5456007E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.4708502E-04   6.5439421E+05   6.5439421E+05   8.5253968E+05   1.6638176E+04   1.4946034E+02   6.5527263E+05   6.5439421E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.0163764E-04   6.5418582E+05   6.5418582E+05   8.4716022E+05   1.6565235E+04   1.4458687E+02   6.5503140E+05   6.5418582E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6284669E-04   6.5392412E+05   6.5392412E+05   8.4043117E+05   1.6473860E+04   1.3853622E+02   6.5472863E+05   6.5392412E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.3152438E-04   6.5359569E+05   6.5359569E+05   8.3202799E+05   1.6359540E+04   1.3105176E+02   6.5434889E+05   6.5359569E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.0858200E-04   6.5318382E+05   6.5318382E+05   8.2155624E+05   1.6216744E+04   1.2183731E+02   6.5387311E+05   6.5318382E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.9504209E-04   6.5266785E+05   6.5266785E+05   8.0854138E+05   1.6038742E+04   1.1056130E+02   6.5327770E+05   6.5266785E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.9205189E-04   6.5202227E+05   6.5202227E+05   7.9242008E+05   1.5817424E+04   9.6869304E+01   6.5253373E+05   6.5202227E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0008987E-03   6.5121580E+05   6.5121580E+05   7.7253560E+05   1.5543140E+04   8.0410161E+01   6.5160590E+05   6.5121580E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
