#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   7.9464626E+05   7.9464626E+05   1.0595107E+06   1.3359401E+04   3.8644515E+02   7.9533282E+05   7.9464626E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   7.9464613E+05   7.9464613E+05   1.0595060E+06   1.3359360E+04   3.8643820E+02   7.9533267E+05   7.9464613E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   7.9464597E+05   7.9464597E+05   1.0595001E+06   1.3359309E+04   3.8642945E+02   7.9533248E+05   7.9464597E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   7.9464576E+05   7.9464576E+05   1.0594926E+06   1.3359245E+04   3.8641844E+02   7.9533225E+05   7.9464576E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   7.9464551E+05   7.9464551E+05   1.0594831E+06   1.3359164E+04   3.8640457E+02   7.9533195E+05   7.9464551E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   7.9464518E+05   7.9464518E+05   1.0594712E+06   1.3359062E+04   3.8638712E+02   7.9533158E+05   7.9464518E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   7.9464477E+05   7.9464477E+05   1.0594563E+06   1.3358934E+04   3.8636514E+02   7.9533111E+05   7.9464477E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   7.9464425E+05   7.9464425E+05   1.0594374E+06   1.3358773E+04   3.8633748E+02   7.9533051E+05   7.9464425E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   7.9464360E+05   7.9464360E+05   1.0594137E+06   1.3358570E+04   3.8630265E+02   7.9532977E+05   7.9464360E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   7.9464278E+05   7.9464278E+05   1.0593839E+06   1.3358314E+04   3.8625881E+02   7.9532883E+05   7.9464278E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
